Title,Genre,Duration,Rating,Voting
Phir Aayi Hasseen Dillruba,Thriller,2h 12m,5.8,7K
House of Spoils,Thriller,1h 41m,5.0,4K
Here Now,Thriller,1h 58m,4.9,491
Milk & Serial,Thriller,1h 2m,6.6,2.7K
Strictly Confidential,Thriller,1h 34m,2.8,884
Footage,Thriller,2h 4m,4.9,2.4K
You Can't Run Forever,Thriller,1h 42m,4.5,4.5K
Love Me Dead,Thriller,1h 27m,6.8,44
A Mistake,Thriller,1h 41m,5.6,1.1K
Till Death Do Us Part,Thriller,1h 30m,6.2,185
Barda,Thriller,1h 39m,4.6,692
The Sand Castle,Thriller,1h 38m,4.7,1.8K
Three Kilometres to the End of the World,Thriller,1h 45m,7.1,1.2K
The Last Front,Thriller,1h 38m,5.5,650
Sunrise,Thriller,1h 33m,3.9,1.2K
#AMFAD: All My Friends Are Dead,Thriller,1h 31m,4.5,1.3K
Operation Laila,Thriller,2h 3m,5.5,56
Way Home,Thriller,1h 38m,6.4,1.5K
Reawakening,Thriller,1h 30m,6.2,403
Tezgah,Thriller,1h 40m,5.4,204
Cold Wallet,Thriller,1h 33m,5.1,651
Transplant,Thriller,1h 33m,8.4,26
The Kingdom,Thriller,2h 13m,7.0,156
The Sleeping Woman,Thriller,1h 50m,5.3,604
Dead Sea,Thriller,1h 28m,5.2,5.5K
The Matriarch,Thriller,1h 22m,6.5,29
Mia,Thriller,1h 21m,8.9,293
In Flight,Thriller,1h 30m,3.6,252
Una ballena,Thriller,1h 48m,5.6,188
Borderless Fog,Thriller,1h 50m,5.2,1.3K
War Game,Thriller,1h 34m,5.5,640
Kanguva,Thriller,2h 32m,4.5,15K
Le Mohican,Thriller,1h 27m,6.8,275
Haunt Season,Thriller,1h 21m,4.9,907
Unexposed,Thriller,1h 3m,7.8,74
Jigra,Thriller,2h 33m,6.0,24K
Customs Frontline,Thriller,1h 55m,5.5,546
Puntos suspensivos,Thriller,1h 30m,6.1,489
The Weekend,Thriller,1h 57m,6.2,69
Shark Warning,Thriller,1h 34m,3.5,386
"Hemet, or the Landlady Don't Drink Tea",Thriller,1h 29m,4.3,96
The Courier,Thriller,1h 41m,6.0,4.6K
Dead Whisper,Thriller,1h 28m,3.8,566
N/A,Thriller,N/A,N/A,N/A
Bitter Gold,Thriller,1h 23m,8.1,62
Above the Knee,Thriller,1h 16m,6.3,72
N/A,Thriller,N/A,N/A,N/A
