Title,Genre,Duration,Rating,Voting
Given the Movie: Hiiragi Mix,Romance,1h 10m,7.6,246
Lyubvi ne byvaet?,Romance,1h 45m,5.4,167
"Walter, Grace & The Submarine",Romance,1h 40m,9.3,8
N/A,Romance,N/A,N/A,N/A
N/A,Romance,N/A,N/A,N/A
Heavens x Candy,Romance,1h 10m,6.1,53
Sihinayaki Adare,Romance,2h 30m,6.5,200
Switch Up,Romance,1h 45m,8.6,30
N/A,Romance,N/A,N/A,N/A
Beauty and the Billionaire: Bali,Romance,1h 31m,5.8,239
Dying Briefly,Romance,1h 18m,5.9,58
Samana Sunrise,Romance,1h 40m,5.0,260
Yuva,Romance,2h 33m,5.7,854
Pon Ondru Kanden,Romance,2h,5.6,287
The Holiday Club,Romance,1h 28m,6.6,399
Love... Reconsidered,Romance,1h 28m,4.1,142
Forbidden Love,Romance,1h 36m,7.8,31
Letters at Christmas,Romance,1h 24m,3.6,183
Éden & Charlie,Romance,45m,7.7,16
Anyone But Her,Romance,1h 33m,4.9,295
Black Owner and Horny College Girls,Romance,1h 5m,3.6,10
Letuchiy korabl,Romance,1h 40m,3.4,394
O2,Romance,1h 45m,6.6,8.1K
Shark Island,Romance,1h 21m,3.0,138
Love Is Never on Time,Romance,1h 50m,8.6,75
Murphy,Romance,2h 16m,7.0,2.4K
Kisko Tha Pata,Romance,2h 15m,6.9,21
Alterlove,Romance,1h 30m,7.8,15
Kupu-Kupu Kertas,Romance,1h 53m,6.5,225
Kill Me If You Dare,Romance,1h 34m,4.6,1.4K
Oshana,Romance,2h 29m,5.7,800
Amaltash,Romance,1h 53m,8.1,160
Azzamine,Romance,1h 44m,7.0,121
The Time of Fever,Romance,1h 41m,8.0,757
C4 Cinta,Romance,2h 47m,7.4,158
The Proud Princess,Romance,1h 24m,6.4,150
Sicilian Holiday,Romance,1h 42m,4.9,24
Sweet Summer Love,Romance,1h 30m,6.6,76
We Are Faheem & Karun,Romance,1h 21m,9.0,80
A Toast to Love,Romance,1h 29m,5.7,153
Albany Road,Romance,2h 15m,7.8,118
