Title,Genre,Duration,Rating,Voting
Bidurbhai,Comedy,2h 28m,9.2,421
White Snake: Afloat,Comedy,2h 13m,6.9,593
Munjya,Comedy,2h 3m,6.3,26K
Nutcrackers,Comedy,1h 44m,5.5,9.5K
Dirty Ice Cream,Comedy,47m,4.2,139
The Best Christmas Pageant Ever,Comedy,1h 39m,6.8,6.3K
Trouble,Comedy,1h 38m,6.2,7.2K
Chosen Family,Comedy,1h 28m,4.7,526
Kangaroo Island,Comedy,1h 53m,7.9,30
Jim's Story,Comedy,1h 41m,6.8,1.1K
Murder Mubarak,Comedy,2h 20m,5.8,51K
À bicyclette!,Comedy,1h 30m,6.9,296
Notice to Quit,Comedy,1h 31m,5.5,621
Bull Run,Comedy,1h 37m,8.2,14
Timestalker,Comedy,1h 29m,5.5,3.1K
The Tiger's Apprentice,Comedy,1h 24m,5.8,2.3K
Opa Cor,Comedy,1h 26m,5.7,403
Marcello Mio,Comedy,2h,5.9,998
Cheech & Chong's Last Movie,Comedy,2h,7.3,533
Breakfast with Giraffes,Comedy,1h 37m,5.9,1.2K
Reunion,Comedy,1h 30m,5.6,3.7K
The Gutter,Comedy,1h 32m,5.5,584
El Hareefa 2: El Remontada,Comedy,2h 10m,6.3,570
Little Death,Comedy,1h 50m,5.5,213
Drugstore June,Comedy,1h 31m,5.4,1.8K
Agak Laen,Comedy,1h 59m,7.6,3.1K
Chantal in Fairyland,Comedy,1h 58m,4.6,2.8K
Marmalade,Comedy,1h 39m,6.3,3.8K
Empire Queen: The Golden Age of Magic,Comedy,2h 28m,3.3,255
The Black Hole,Comedy,1h 55m,6.0,256
Thelma the Unicorn,Comedy,1h 33m,5.7,3.1K
Prom Dates,Comedy,1h 26m,5.2,1.8K
Bhool Bhulaiyaa 3,Comedy,2h 38m,4.6,78K
Heavier Trip,Comedy,1h 36m,6.0,1.5K
And Mrs,Comedy,1h 51m,5.8,846
Arena Wars,Comedy,1h 36m,5.5,3.2K
N/A,Comedy,N/A,N/A,N/A
Her Seyin Basi Merkür,Comedy,1h 45m,3.4,504
The Mountain,Comedy,1h 29m,6.5,214
La Casa,Comedy,1h 23m,6.9,1K
Mittran Da Challeya Truck Ni,Comedy,2h 11m,7.7,1.1K
How to Date Billy Walsh,Comedy,1h 38m,5.2,4K
Bookworm,Comedy,1h 43m,6.0,2.1K
The Price of Nonna's Inheritance,Comedy,1h 30m,5.3,1.2K
Panda Plan,Comedy,1h 39m,5.1,1.6K
Up the Catalogue,Comedy,1h 12m,8.1,10
Shell,Comedy,1h 40m,6.8,79
The Fisherman,Comedy,1h 46m,7.5,60
Dear Paris,Comedy,1h 48m,5.6,409
Zenithal,Comedy,1h 20m,4.9,122
Gelin Takimi,Comedy,1h 49m,3.9,6.5K
N/A,Comedy,N/A,N/A,N/A
Kyuka: Before Summer's End,Comedy,1h 43m,6.3,414
The Present,Comedy,1h 26m,5.5,942
Pilot,Comedy,1h 50m,6.2,931
A Legend,Comedy,2h 9m,4.7,1.1K
Spread,Comedy,1h 52m,5.7,682
Hotii de Subiecte,Comedy,1h 50m,6.4,228
A Country Called Ghana,Comedy,1h 27m,7.6,25
A.R.M,Comedy,2h 30m,7.1,9.1K
Feeling Randy,Comedy,1h 21m,7.1,519
The Other Way Around,Comedy,1h 54m,6.4,1.8K
Meet Me Next Christmas,Comedy,1h 45m,5.7,8.7K
Rent Free,Comedy,1h 33m,7.8,82
Carved,Comedy,1h 35m,4.4,2.9K
200% Wolf,Comedy,1h 38m,5.9,1.3K
Lopaliki Ra Chepta,Comedy,1h 52m,8.1,1.5K
Seeds,Comedy,1h 22m,4.9,240
Running on Empty,Comedy,1h 31m,4.9,618
Five Blind Dates,Comedy,1h 23m,5.1,2.1K
Queens of Drama,Comedy,1h 54m,6.3,225
Meet the Barbarians,Comedy,1h 41m,6.4,720
Blame the Game,Comedy,1h 32m,5.4,5.4K
Nice Girls,Comedy,1h 32m,4.2,1.2K
10 Lives,Comedy,1h 28m,5.9,2.1K
Destroy All Neighbors,Comedy,1h 25m,5.3,2.1K
Varshangalkku Shesham,Comedy,2h 46m,6.6,4.5K
K-Pops!,Comedy,1h 54m,7.3,62
The Trainer,Comedy,1h 35m,7.2,67
N/A,Comedy,N/A,N/A,N/A
The Holiday List,Comedy,1h 25m,4.2,219
Pegasus 2,Comedy,2h 1m,6.9,1.3K
N/A,Comedy,N/A,N/A,N/A
The Underdoggs,Comedy,1h 36m,5.6,4.7K
Illegal Hayatlar: Meclis,Comedy,1h 55m,6.8,860
Frankie Freako,Comedy,1h 25m,5.5,1.4K
Citizen of a Kind,Comedy,1h 54m,6.6,935
N/A,Comedy,N/A,N/A,N/A
N/A,Comedy,N/A,N/A,N/A
Fakt Purusho Maate,Comedy,2h 16m,7.0,283
Lesbian Space Princess,Comedy,1h 27m,7.1,212
I Want to Be Neenja! The Movie,Comedy,1h 30m,3.6,404
The Empire,Comedy,1h 50m,5.2,1.4K
Her Story,Comedy,2h 3m,7.6,2K
Street Trash,Comedy,1h 25m,4.5,965
Dog on Trial,Comedy,1h 23m,6.0,809
The Southern Chronicles,Comedy,2h,8.7,2.9K
Rats!,Comedy,1h 25m,6.5,224
Crackcoon,Comedy,1h 28m,3.6,458
Slay,Comedy,1h 39m,6.5,1.2K
Krazy House,Comedy,1h 29m,4.8,1.5K
Noah's Ark,Comedy,1h 36m,4.2,706
Two to One,Comedy,1h 56m,6.1,869
When in Rome,Comedy,1h 38m,6.1,809
The Code,Comedy,1h 38m,6.0,242
Longing,Comedy,1h 51m,4.7,942
Wishing on a Star,Comedy,1h 39m,6.6,195
No Time to Spy: A Loud House Movie,Comedy,1h 21m,6.3,505
Tezgah,Comedy,1h 40m,5.4,204
Broken Rage,Comedy,1h 2m,6.1,1.7K
And the Breadwinner Is...,Comedy,2h 3m,5.9,494
My Future You,Comedy,1h 49m,7.4,317
Wallbanger,Comedy,1h 58m,5.6,750
A Sudden Case of Christmas,Comedy,1h 31m,5.1,1.2K
N/A,Comedy,N/A,N/A,N/A
We're All Gonna Die,Comedy,1h 50m,5.7,177
Monster on a Plane,Comedy,1h 28m,4.6,2.4K
Face Off 7: One Wish,Comedy,2h 18m,7.3,383
Another Day in America,Comedy,1h 52m,8.9,95
Sin instrucciones,Comedy,1h 39m,6.3,655
Operation Taco Gary's,Comedy,1h 28m,6.8,35
Empire Waist,Comedy,1h 37m,6.2,218
Troubleshooters,Comedy,1h 50m,6.4,436
Mr. Manhattan,Comedy,1h 50m,6.8,479
Jack in Time for Christmas,Comedy,1h 6m,4.6,1K
