Title,Genre,Duration,Rating,Voting
Sorop,Horror,1h 43m,5.4,254
Nearing Death,Horror,1h 36m,5.7,380
Strange Frequencies: Taiwan Killer Hospital,Horror,1h 31m,7.2,75
A Herança,Horror,1h 20m,5.3,248
Killer Body Count,Horror,1h 49m,4.7,687
Sayuri,Horror,1h 48m,6.3,359
Kang Mak,Horror,2h 2m,6.4,910
Riders,Horror,1h 45m,6.4,517
Wanita Ahli Neraka,Horror,1h 35m,5.0,317
Hide N Seek,Horror,2h 14m,8.8,2.2K
Model House,Horror,1h 25m,4.0,1.1K
Witch,Horror,1h 47m,4.9,1.4K
Ba,Horror,1h 19m,7.4,70
Thaghut,Horror,1h 42m,5.8,337
I Heart Willie,Horror,1h 28m,6.1,119
N/A,Horror,N/A,N/A,N/A
Jhamkudi,Horror,2h 31m,6.6,1K
A Mother's Embrace,Horror,1h 30m,5.8,647
Sam and Colby: The Legends of the Paranormal,Horror,1h 38m,4.9,316
Hu Die Da Shia,Horror,1h 42m,4.3,62
Festival of the Living Dead,Horror,1h 28m,4.3,673
Another Cabin in the Woods Movie,Horror,1h 17m,4.7,240
Night Shoot,Horror,1h 38m,5.6,93
The Ritual,Horror,1h 40m,3.5,31
N/A,Horror,N/A,N/A,N/A
Freelance,Horror,1h 50m,4.8,388
Bloody Ishq,Horror,2h 18m,2.9,2.2K
Last Stop: Rocafort St.,Horror,1h 29m,4.1,511
Don't Open the Door,Horror,1h 27m,6.6,8.4K
Sakaratul Maut,Horror,1h 47m,5.4,192
12 to Midnight,Horror,1h 36m,3.6,303
The Jack in the Box Rises,Horror,1h 32m,4.1,839
Camp Pleasant Lake,Horror,1h 30m,3.3,2.4K
You Shall Not Sleep Tonight,Horror,1h 17m,4.1,397
My Boo,Horror,2h 5m,6.1,738
They Call Her Death,Horror,1h 32m,5.4,213
Are You There?,Horror,1h 28m,6.3,71
Horny Teenagers Must Die!,Horror,1h 24m,3.2,249
Cora,Horror,1h 44m,4.5,951
Spring Garden,Horror,1h 30m,4.4,213
Guess Who,Horror,1h 33m,4.8,378
Blood Debt,Horror,1h 40m,5.4,214
The Legend of Lake Hollow,Horror,1h 28m,3.7,554
Wake,Horror,1h 25m,3.4,288
Till Death Do Us Part,Horror,1h 48m,6.3,283
Replicator,Horror,1h 15m,3.8,183
Five Friends,Horror,1h 52m,6.7,992
The North Witch,Horror,1h 20m,4.7,65
What Lurks Beneath,Horror,1h 42m,4.2,809
Chainsaws Were Singing,Horror,1h 57m,7.2,391
Dominion of Darkness,Horror,1h 36m,5.6,862
Do You See What I See,Horror,1h 49m,5.4,705
The Notorious Finster,Horror,1h 53m,3.9,184
History of Evil,Horror,1h 38m,3.4,834
N/A,Horror,N/A,N/A,N/A
Down Below,Horror,1h 33m,2.6,208
Haunted Universities 3,Horror,1h 59m,5.4,325
Nyctophobia,Horror,1h 30m,6.8,1.8K
Buzz House: The Movie,Horror,1h 33m,3.2,1.3K
American Werewolf,Horror,1h 7m,1.6,125
